,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.59,26.89,63.0,93,100,1.99,ZA,1576980033
1,dublin,53.35,-6.26,42.01,93,90,4.7,IE,1576979766
2,guerrero negro,27.97,-114.04,63.25,34,100,1.32,MX,1576980034
3,saskylakh,71.97,114.09,-20.94,96,88,3.09,RU,1576980034
4,thompson,55.74,-97.86,8.6,84,90,1.43,CA,1576980034
5,lorengau,-2.02,147.27,84.22,71,100,7.83,PG,1576980034
6,ushuaia,-54.81,-68.31,46.4,65,40,19.46,AR,1576979978
7,hermanus,-34.42,19.24,55.99,78,0,16.87,ZA,1576980034
8,bredasdorp,-34.53,20.04,48.2,76,0,2.48,ZA,1576980034
9,sao filipe,14.9,-24.5,71.2,74,24,17.78,CV,1576980034
10,kiruna,67.86,20.23,19.4,92,100,2.48,SE,1576980035
11,tiksi,71.64,128.87,-17.52,99,100,4.63,RU,1576980035
12,chokurdakh,70.62,147.9,-11.04,97,100,10.18,RU,1576980035
13,albany,42.65,-73.75,25.0,72,20,3.83,US,1576980035
14,wewak,-3.55,143.63,82.8,77,61,6.8,PG,1576980035
15,jamestown,-33.21,138.6,84.78,16,92,8.21,AU,1576980035
16,atuona,-9.8,-139.03,80.89,68,22,13.8,PF,1576980036
17,mazagao,-0.12,-51.29,82.4,100,40,8.05,BR,1576980036
18,pevek,69.7,170.27,-11.33,99,100,1.63,RU,1576980036
19,quatre cocos,-20.21,57.76,80.6,69,75,12.75,MU,1576980036
20,kaitangata,-46.28,169.85,55.99,65,100,11.99,NZ,1576980036
21,severo-kurilsk,50.68,156.12,16.12,87,99,4.92,RU,1576980036
22,longyearbyen,78.22,15.63,5.2,85,19,4.81,NO,1576980037
23,punta arenas,-53.16,-70.91,48.2,61,20,24.16,CL,1576980000
24,buala,-8.15,159.59,80.92,82,80,3.76,SB,1576980037
25,klaksvik,62.23,-6.59,44.6,87,100,17.22,FO,1576980037
26,torbay,47.66,-52.73,30.99,86,90,9.17,CA,1576980037
27,hilo,19.71,-155.08,77.0,65,90,14.99,US,1576980037
28,srandakan,-7.94,110.25,85.37,67,92,6.67,ID,1576980037
29,katsuura,33.93,134.5,50.0,81,75,5.82,JP,1576980037
30,coahuayana,18.62,-100.35,76.82,45,96,1.97,MX,1576980038
31,egvekinot,66.32,-179.17,-15.39,57,0,2.98,RU,1576980038
32,mataura,-46.19,168.86,57.0,71,100,13.0,NZ,1576980038
33,sorland,67.67,12.69,42.71,80,100,8.88,NO,1576980038
34,jimma,7.67,36.84,55.8,85,15,0.96,ET,1576980038
35,tanete,-3.94,119.78,85.21,77,36,2.53,ID,1576980038
36,west wendover,40.74,-114.07,28.4,86,1,3.36,US,1576980007
37,rikitea,-23.12,-134.97,71.94,91,100,9.53,PF,1576980039
38,san policarpo,12.18,125.51,81.41,70,17,9.89,PH,1576980039
39,ribeira grande,38.52,-28.7,58.55,78,66,3.47,PT,1576980039
40,yellowknife,62.45,-114.38,-5.8,76,75,5.82,CA,1576980039
41,carnarvon,-30.97,22.13,52.09,79,32,14.41,ZA,1576980039
42,virginia beach,36.85,-75.98,39.0,77,1,6.44,US,1576979961
43,canto do buriti,-8.11,-42.94,74.88,47,79,3.24,BR,1576980040
44,severobaykalsk,55.65,109.32,2.12,90,67,14.88,RU,1576980040
45,cape town,-33.93,18.42,62.01,67,0,13.87,ZA,1576979815
46,airai,-8.93,125.41,84.92,44,46,7.14,TL,1576980040
47,puerto ayora,-0.74,-90.35,71.92,87,0,13.02,EC,1576980040
48,mitsamiouli,-11.38,43.28,82.99,68,24,3.06,KM,1576980040
49,tuktoyaktuk,69.44,-133.03,-13.0,75,90,14.99,CA,1576980041
50,georgetown,6.8,-58.16,80.6,88,40,9.17,GY,1576980041
51,ixtapa,20.71,-105.21,78.8,74,5,3.36,MX,1576980041
52,lebu,8.96,38.73,49.26,93,1,0.58,ET,1576980041
53,inirida,3.87,-67.92,74.71,96,90,2.26,CO,1576980041
54,itoman,26.12,127.67,77.0,83,20,16.11,JP,1576980041
55,oeiras do para,-2.0,-49.85,75.13,95,87,2.59,BR,1576980042
56,vrangel,42.73,133.08,23.67,49,100,4.03,RU,1576980042
57,dikson,73.51,80.55,2.19,94,100,10.27,RU,1576980042
58,coquimbo,-29.95,-71.34,59.0,87,0,2.24,CL,1576980042
59,nyurba,63.29,118.35,-31.47,95,21,3.49,RU,1576980042
60,hithadhoo,-0.6,73.08,83.19,77,2,11.16,MV,1576980042
61,baghmara,23.8,86.21,62.26,39,0,5.79,IN,1576980042
62,hambantota,6.12,81.12,77.0,100,75,4.7,LK,1576980043
63,havelock,34.88,-76.9,42.8,75,1,4.7,US,1576980043
64,novyy urengoy,66.08,76.63,-6.97,97,88,5.21,RU,1576980043
65,codrington,-28.95,153.24,86.0,55,14,6.93,AU,1576980043
66,dingle,11.0,122.67,81.19,78,84,11.79,PH,1576980043
67,honiara,-9.43,159.96,86.0,74,75,5.82,SB,1576980044
68,ambulu,-8.35,113.61,82.89,73,67,4.05,ID,1576980044
69,busselton,-33.64,115.35,84.0,32,7,10.78,AU,1576980044
70,tasiilaq,65.61,-37.64,21.2,53,100,14.99,GL,1576980044
71,zhanaozen,43.35,52.85,29.55,79,100,9.28,KZ,1576980044
72,lata,30.78,78.62,16.07,26,0,6.38,IN,1576980044
73,neepawa,50.23,-99.46,17.6,92,90,11.41,CA,1576980044
74,geraldton,49.72,-86.95,28.4,92,90,9.17,CA,1576980045
75,praya,-8.71,116.27,87.8,66,40,2.24,ID,1576980045
76,umm lajj,25.02,37.27,70.2,32,67,4.05,SA,1576980045
77,kavieng,-2.57,150.8,85.24,71,100,8.97,PG,1576980045
78,vaini,15.34,74.49,64.4,82,40,4.7,IN,1576980045
79,golden,39.76,-105.22,46.0,35,75,3.36,US,1576979898
80,vila franca do campo,37.72,-25.43,62.6,93,75,12.75,PT,1576980046
81,atbasar,51.81,68.36,11.84,93,80,12.44,KZ,1576980046
82,lavrentiya,65.58,-170.99,1.33,79,0,10.18,RU,1576980046
83,leshukonskoye,64.9,45.76,24.42,95,100,10.56,RU,1576980046
84,acapulco,16.86,-99.88,80.6,83,90,2.62,MX,1576979825
85,kot samaba,28.55,70.47,57.81,40,0,2.75,PK,1576980046
86,faya,18.39,42.45,51.8,62,0,0.47,SA,1576980047
87,souillac,45.6,-0.6,53.6,81,100,28.86,FR,1576980047
88,leh,34.16,77.58,0.14,71,84,1.74,IN,1576980047
89,avarua,-21.21,-159.78,75.2,100,100,19.46,CK,1576980047
90,erzin,36.95,36.2,48.99,100,0,5.82,TR,1576980047
91,nelson bay,-32.72,152.14,72.0,64,90,19.46,AU,1576980047
92,mareeba,-16.99,145.42,82.99,74,75,3.36,AU,1576980047
93,constitucion,23.99,-104.67,50.0,61,90,10.29,MX,1576980047
